"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Breach.Submission.Date","Type.of.Breach","Location.of.Breached.Information"
"St. Joseph Health System","CA","Healthcare Provider",12234,2012-02-15,"Unauthorized Access/Disclosure","Network Server"
"Goshen Health System, Inc.","IN","Healthcare Provider",660,2012-02-14,"Hacking/IT Incident","Other"
"Lakeview Medical Center","WI","Healthcare Provider",698,2012-02-14,"Theft","Laptop"
"Medco Health Solutions, Inc.","NJ","Healthcare Provider",1287,2012-02-13,"Theft","Paper/Films"
"Loma Linda University Medical Center (LLUMC)","CA","Healthcare Provider",1366,2012-02-08,"Other","Paper/Films"
"Triumph, LLC","NC","Healthcare Provider",2000,2012-02-01,"Theft","Laptop"
"UnitedHealth Group health plan single affiliated covered entity","MN","Health Plan",6678,2012-02-01,"Other","Paper/Films"
"University of Miami ","FL","Healthcare Provider",1219,2012-01-30,"Theft","Other Portable Electronic Device"
"Metro Community Provider Network","CO","Healthcare Provider",3200,2012-01-27,"Hacking/IT Incident, Other","Email"
"Flex Physical Therapy","WA","Healthcare Provider",3100,2012-01-27,"Theft","Desktop Computer"
"St.Vincent Physician Network","IN","Healthcare Provider",1423,2012-01-26,"Theft, Unauthorized Access/Disclosure","Paper/Films"
"Oldendorf Medical Services, PLLC","NY","Healthcare Provider",549,2012-01-24,"Theft","Laptop"
"Muskogee Regional Medical Center","OK","Health Plan",844,2012-01-20,"Loss","Other"
"Delta Dental of California","CA","Health Plan",11646,2012-01-19,"Other","Paper/Films"
"Kansas Department on Aging","KS","Healthcare Provider",7757,2012-01-19,"Theft","Laptop"
"Foundation Medical Partners","NH","Healthcare Provider",771,2012-01-18,"Unauthorized Access/Disclosure","Paper/Films"
"Foundation Medical Partners","NH","Healthcare Provider",771,2012-01-16,"Theft","Paper/Films"
"CardioNet, Inc","PA","Healthcare Provider",1300,2012-01-10,"Theft","Laptop"
"Smile Designs","FL","Healthcare Provider",1670,2012-01-06,"Theft","Desktop Computer, Network Server"
"Sleep HealthCenters LLC","MA","Healthcare Provider",2988,2011-12-28,"Theft","Laptop"
"Concentra Health","TX","Healthcare Provider",870,2011-12-28,"Theft","Laptop"
"Soundpath Health, Inc","WA","Health Plan",7581,2011-12-23,"Theft","Laptop"
"Aegis Sciences Corporation","TN","Healthcare Provider",2185,2011-12-21,"Theft","Laptop, Other Portable Electronic Device"
"Molina Healthcare of California","CA","Health Plan",11081,2011-12-17,"Other","Paper/Films"
"Paul C. Brown, MD, PS","WA","Healthcare Provider",4693,2011-12-15,"Theft","Other"
"Roberts S. Smith M.D. Inc.","GA","Healthcare Provider",17000,2011-12-13,"Theft","Laptop"
"University of Nebraska Medical Center","NE","Healthcare Provider",611,2011-12-09,"Theft","Paper/Films"
"Rite Aid Corporation ","PA","Healthcare Provider",2900,2011-12-07,"Other","Paper/Films"
"Contra Costa Health Services","CA","Healthcare Provider",4700,2011-12-07,"Unauthorized Access/Disclosure","Paper/Films"
"Jay C. Platt, DDS","IN","Healthcare Provider",10705,2011-12-05,"Theft","Other"
"Cleveland Clinic Florida","FL","Healthcare Provider",772,2011-12-01,"Loss","Other"
"State of Tennessee Sponsored Group Health Plan","TN","Health Plan",1770,2011-11-28,"Unauthorized Access/Disclosure","Paper/Films"
"University of Kentucky UK HealthCare","KY","Healthcare Provider",878,2011-11-23,"Loss","Other Portable Electronic Device"
"Sitka Wellness Center","AK","Healthcare Provider",566,2011-11-22,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Dallas County Hospital District dba Parkland Health & Hospital System","TX","Healthcare Provider",2464,2011-11-17,"Unauthorized Access/Disclosure","Electronic Medical Record, Paper/Films"
"Medcenter One","ND","Healthcare Provider",650,2011-11-17,"Theft","Laptop"
"Sutter Medical Foundation","AL","Healthcare Provider",943434,2011-11-17,"Theft","Desktop Computer"
"Amerigroup Community Care of New Mexico, Inc","NM","Health Plan",1537,2011-11-13,"Theft","Paper/Films"
"Logan County Emergeny Ambulance Service Authority","WV","Healthcare Provider",12563,2011-11-08,"Loss, Theft","Laptop"
"UCLA Health System","CA","Healthcare Provider",2761,2011-11-04,"Theft","Other, Other Portable Electronic Device"
"St. Joseph Medical Center","MD","Healthcare Provider",5000,2011-11-03,"Theft","Other, Paper/Films"
"Lebanon Internal Medicine Associates","PA","Healthcare Provider",55000,2011-11-02,"Improper Disposal","Network Server"
"KCI USA, Inc.","TX","Healthcare Provider",567,2011-10-31,"Theft","Other, Other Portable Electronic Device"
"Julie A. Kennedy, D.M.D., P.A.","FL","Healthcare Provider",2900,2011-10-31,"Theft","Network Server"
"Premier Imaging","NC","Healthcare Provider",551,2011-10-28,"Unknown","Paper/Films"
"Morris Heights Health Center","NY","Healthcare Provider",927,2011-10-27,"Theft","Laptop"
"Indiana University School of Optometry","IN","Healthcare Provider",757,2011-10-25,"Theft","Network Server"
"Brevard Emergency Services, P.A.","FL","Healthcare Provider",2200,2011-10-25,"Theft","Paper/Films"
"Conway Regional Medical Center","AR","Healthcare Provider",1472,2011-10-21,"Loss","Other"
"Spectrum Health Ssytems, Inc.  ","MA","Healthcare Provider",14750,2011-10-20,"Theft","Desktop Computer"
"Mutual of Omaha Insurance Co","NE","Health Plan",705,2011-10-18,"Theft","Other Portable Electronic Device"
"Lankenau Medical Center","PA","Healthcare Provider",500,2011-10-17,"Theft","Other"
"Thomas Jefferson University Hospitals, Inc.","PA","Healthcare Provider",3150,2011-10-14,"Theft","Other"
"Florida Hospital","FL","Healthcare Provider",12784,2011-10-13,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Lahey Clinic","MA","Healthcare Provider",599,2011-10-11,"Theft","Laptop"
"InStep Foot Clinic, P.A.","MN","Healthcare Provider",2600,2011-10-11,"Theft","Electronic Medical Record, Laptop"
"Adult & Pediatric Dermatology, PC","MA","Healthcare Provider",2200,2011-10-07,"Theft","Other, Other Portable Electronic Device"
"The Nemours Foundation","FL","Healthcare Provider",1055489,2011-10-07,"Loss","Other"
"Indiana University","IN","Healthcare Provider",3266,2011-10-04,"Theft","Laptop"
"Henry Ford Health System","MI","Healthcare Provider",520,2011-10-03,"Theft","Desktop Computer"
"MAPFRE Life","PR","Health Plan",2209,2011-09-29,"Theft","Desktop Computer, Other"
"Summit Medical Group, PLLC","TN","Healthcare Provider",731,2011-09-28,"Theft","Paper/Films"
"Fairview Health Services","MN","Healthcare Provider",14623,2011-09-27,"Theft","Laptop"
"North Memorial Health Care","MN","Healthcare Provider",9497,2011-09-27,"Theft","Laptop"
"NYU Hospital for Joint Diseases Inventory Management Department","NY","Healthcare Provider",2600,2011-09-26,"Theft","Paper/Films"
"VA Illiana Health Care System","IL","Healthcare Provider",518,2011-09-23,"Loss","Paper/Films"
"Health Texas Provider Network","TX","Healthcare Provider",1259,2011-09-23,"Theft","Laptop"
"Bonney Lake Medical Center and Mythili R. Ramachandran, MD","WA","Healthcare Provider",2367,2011-09-21,"Theft","Desktop Computer, Laptop"
"VA Gulf Coast Veterans Health Care System","MS","Healthcare Provider",1797,2011-09-20,"Theft","Paper/Films"
"Freda J Bowman  MD PA","TX","Healthcare Provider",1300,2011-09-20,"Hacking/IT Incident, Unauthorized Access/Disclosure","Network Server"
"Diversified Resources, Inc.","GA","Healthcare Provider",863,2011-09-15,"Theft","Laptop"
"John T. Melvin, M.D.& Associates","TX","Healthcare Provider",2541,2011-09-14,"Theft","Paper/Films"
"Centro de Ortodoncia Inc.","PR","Healthcare Provider",2000,2011-09-13,"Theft","Paper/Films"
"Texas Health and Human Services Commission","TX","Health Plan",1696,2011-09-09,"Theft","Laptop"
"Jonathan Noel MD","IN","Healthcare Provider",2059,2011-09-08,"Theft","Other, Other Portable Electronic Device"
"Muir Orthopaedic Specialists, A Medical Group Inc.","CA","Healthcare Provider",1800,2011-09-07,"Theft","Paper/Films"
"NEA Baptist Clinic","AR","Healthcare Provider",3116,2011-09-07,"Hacking/IT Incident","Network Server"
"HEALTH RESEARCH INSTITUTE, INC., PFEIFFER TREATMENT CENTER","IL","Healthcare Provider",2000,2011-08-29,"Theft","Desktop Computer, Network Server"
"Lexington VAMC","KY","Healthcare Provider",1432,2011-08-25,"Theft","Laptop, Other Portable Electronic Device, Paper/Films"
"Capron Rescue Squad District","IL","Healthcare Provider",815,2011-08-18,"Unauthorized Access/Disclosure","Laptop"
"Colorado Department of Health Care Policy and Financing","CO","Health Plan",3589,2011-08-16,"Loss","Other"
"The Neurological Institute of Savannah & Center for Spine","GA","Healthcare Provider",63425,2011-08-15,"Theft","Other, Other Portable Electronic Device"
"Washington State Department of Social and Health Services","WA","Health Plan",3950,2011-08-09,"Unauthorized Access/Disclosure","Paper/Films"
"Brigham and Women's Hospital and Faulkner Hospital ","MA","Healthcare Provider",638,2011-08-03,"Theft","Other Portable Electronic Device"
"Treatment Services Northwest","OR","Healthcare Provider",1200,2011-07-29,"Theft","Desktop Computer"
"Mills-Peninsula Health Services","CA","Healthcare Provider",1500,2011-07-29,"Unauthorized Access/Disclosure","Paper/Films"
"Health Care Service Corporation","IL","Health Plan",501,2011-07-28,"Theft","Paper/Films"
"Austin Center for Therapy and Assessment, LLC","TX","Healthcare Provider",1870,2011-07-28,"Theft","Laptop"
"University of Kentucky - UK HealthCare","KY","Healthcare Provider",3604,2011-07-28,"Theft","Laptop"
"Andersen Air Force Base, Guam","VA","Healthcare Provider",700,2011-07-22,"Improper Disposal","Paper/Films"
"Beth Israel Deaconess Medical Center","MA","Healthcare Provider",2021,2011-07-19,"Hacking/IT Incident","Network Server"
"Memorial Health Systems","CO","Healthcare Provider",2300,2011-07-15,"Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Laptop, Network Server"
"DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale","GA","Healthcare Provider",7500,2011-07-15,"Theft","Paper/Films"
"Dr Axel Velez","PR","Healthcare Provider",2800,2011-07-13,"Theft","Desktop Computer"
"Jackson Health System","FL","Healthcare Provider",1562,2011-07-08,"Unauthorized Access/Disclosure","Electronic Medical Record, Other"
"Troy Regional Medical Center","AL","Healthcare Provider",880,2011-07-08,"Unauthorized Access/Disclosure","Paper/Films"
"The Mount Sinai Hospital","NY","Healthcare Provider",712,2011-07-08,"Theft","Laptop"
"Yanez Dental Corporation","CA","Healthcare Provider",10190,2011-07-04,"Theft","Desktop Computer, Network Server"
"Health Plan of San Mateo","CA","Health Plan",694,2011-06-29,"Unauthorized Access/Disclosure","Paper/Films"
"Gail Gillespie and Associates, LLC","LA","Healthcare Provider",2000,2011-06-28,"Theft","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device"
"University of Missouri Health Care","MO","Healthcare Provider",1288,2011-06-23,"Unknown","Paper/Films"
"NOL, LLC d/b/a Premier Radiology","TN","Healthcare Provider",810,2011-06-22,"Theft","Laptop"
"Advanced Diagnostic Imaging, P.C.","TN","Healthcare Provider",705,2011-06-22,"Theft","Laptop"
"Blue Cross and Blue Shield of Florida ","FL","Health Plan",3463,2011-06-17,"Unauthorized Access/Disclosure","Other"
"Gene S. J. Liaw, MD. PS","WA","Healthcare Provider",1105,2011-06-17,"Theft","Other, Other Portable Electronic Device"
"New River Health Association","WV","Healthcare Provider",950,2011-06-16,"Unauthorized Access/Disclosure","Paper/Films"
"HealthCare Partners","CA","Healthcare Provider",15677,2011-06-16,"Theft","Desktop Computer"
"Metropolitan Community Health Services, Inc.","NC","Healthcare Provider",1263,2011-06-09,"Unknown","Email"
"FOOTHILLS NEPHROLOGY, PC","SC","Healthcare Provider",1280,2011-06-09,"Theft","Other, Other Portable Electronic Device"
"TUBA CITY REGIONAL HEALTH CARE CORPORATION","AZ","Healthcare Provider",2000,2011-06-09,"Improper Disposal, Loss","Paper/Films"
"Navos","WA","Health Plan",2700,2011-06-08,"Unknown","Paper/Films"
"Saint Joseph - Berea","KY","Healthcare Provider",1986,2011-06-02,"Loss, Theft","Other, Other Portable Electronic Device"
"Spartanburg Regional Healthcare System","SC","Healthcare Provider",400000,2011-05-27,"Theft","Desktop Computer"
"VA Caribbean Healthcare System","PR","Healthcare Provider",6006,2011-05-26,"Theft","Paper/Films"
"Imaging Center of Garland","TX","Healthcare Provider",1031,2011-05-19,"Improper Disposal","Other"
"Robert B. Miller, MD","CA","Healthcare Provider",620,2011-05-17,"Theft","Laptop"
"CENTER FOR ARTHRITIS & RHEUMATIC DISEASES","FL","Healthcare Provider",8000,2011-05-11,"Theft","Other, Paper/Films"
"CVS CAREMARK","AZ","Healthcare Provider",654,2011-05-11,"Theft, Unauthorized Access/Disclosure","Paper/Films"
"Union Security Insurance Company","MO","Health Plan",850,2011-05-09,"Unauthorized Access/Disclosure","Other"
"MMM Healthcare, Inc.","PR","Healthcare Provider",32390,2011-05-09,"Theft","Desktop Computer"
"PMC Medicare Choice","PR","Health Plan",24361,2011-05-09,"Theft","Desktop Computer"
"Indiana Regional Medical Center","PA","Healthcare Provider",1388,2011-05-09,"Theft","Paper/Films"
"Drs Edalji and Komer","MA","Healthcare Provider",563,2011-05-06,"Theft","Laptop"
"Reid Hospital & Health Care Services","IN","Healthcare Provider",22001,2011-05-06,"Theft","Laptop"
"Methodist Charlton Medical Center","TX","Healthcare Provider",1500,2011-05-05,"Theft","Laptop"
"Speare Memorial Hospital","NH","Healthcare Provider",5960,2011-05-02,"Theft","Laptop"
"Knox Community Hospital","OH","Healthcare Provider",500,2011-04-28,"Improper Disposal","Other"
"MacNeal Hospital","IL","Healthcare Provider",845,2011-04-25,"Hacking/IT Incident","Desktop Computer, Email, Laptop, Network Server"
"Genesis Clinical Laboratory","IL","Healthcare Provider",1070,2011-04-25,"Hacking/IT Incident","Desktop Computer, Email, Laptop, Network Server"
"MacNeal Physician Group","IL","Healthcare Provider",532,2011-04-25,"Hacking/IT Incident","Desktop Computer, Email, Laptop, Network Server"
"Phoenix Health Plan","AZ","Health Plan",9393,2011-04-25,"Hacking/IT Incident","Desktop Computer, Email, Laptop, Network Server"
"West Lake Hospital ","IL","Healthcare Provider",686,2011-04-25,"Hacking/IT Incident","Desktop Computer, Email, Laptop, Network Server"
"Keith & Fisher, DDS, PA","NC","Healthcare Provider",6000,2011-04-21,"Hacking/IT Incident","Network Server"
"Community Action partnership of Natrona County","WY","Healthcare Provider",15000,2011-04-20,"Theft","Desktop Computer"
"SW General Inc","AZ","Healthcare Provider",566,2011-04-14,"Theft","Paper/Films"
"Fairview Health Services","MN","Healthcare Provider",1215,2011-04-14,"Loss","Paper/Films"
"Aiken Community Based Outpatient Clinic","SC","Healthcare Provider",2717,2011-04-12,"Improper Disposal","Paper/Films"
"Oklaholma State Dept. of Health","OK","Healthcare Provider",132940,2011-04-11,"Theft","Laptop, Paper/Films"
"Union Security Insurance Company","MO","Health Plan",935,2011-04-08,"Unauthorized Access/Disclosure","Other"
"Patient Care Services at Saint Francis, Inc.","OK","Healthcare Provider",84000,2011-04-06,"Theft","Network Server"
"Brian J Daniels D.D.S.,Paul R Daniels D.D.S.","AZ","Healthcare Provider",10000,2011-04-04,"Theft","Other, Other Portable Electronic Device"
"Park Avenue Obstetrics & Gynecology, PC","AZ","Healthcare Provider",635,2011-03-31,"Theft","Other, Other Portable Electronic Device"
"Clarksburg - Louis A. Johnson VA Medical Center","WV","Healthcare Provider",1470,2011-03-30,"Unauthorized Access/Disclosure","Paper/Films"
"EISENHOWER MEDICAL CENTER","CA","Healthcare Provider",514330,2011-03-30,"Theft","Desktop Computer"
"County of Los Angeles","CA","Healthcare Provider",667,2011-03-30,"Theft","Laptop"
"NYU School of Medicine Faculty Group Practice","NY","Healthcare Provider",670,2011-03-28,"Theft","Desktop Computer"
"Rape & Brooks Orthodontics, P.C.","AL","Healthcare Provider",20744,2011-03-28,"Theft","Desktop Computer, Network Server, Other, Other Portable Electronic Device"
"Texas Health Arlington Memorial Hospital","TX","Healthcare Provider",654,2011-03-23,"Unknown","Electronic Medical Record"
"JEFFREY J. SMITH, MD","OK","Healthcare Provider",600,2011-03-16,"Theft","Desktop Computer, Other, Other Portable Electronic Device"
"Omnicare, Inc","KY","Healthcare Provider",8845,2011-03-10,"Theft","Laptop"
"University Health Services, University of Massachusetts, Amherst","MA","Healthcare Provider",942,2011-03-07,"Unauthorized Access/Disclosure","Desktop Computer"
"Blue Cross and Blue Shield of Florida ","FL","Health Plan",7366,2011-03-03,"Unknown","Other"
"Henry Ford Hospital","MI","Healthcare Provider",2777,2011-02-23,"Loss","Other, Other Portable Electronic Device"
"Mountain Vista Medical Center","AZ","Healthcare Provider",2291,2011-02-21,"Loss","Other, Other Portable Electronic Device"
